1,2016-01-01,259,2016-01-03,2016-01-03,4,20,Electra Townie Original 7D EQ - Women's - 2016,Pleasanton,CA,94566,JohnathanVelazquez,Cruisers Bicycles,Santa Cruz Bikes,FabiolaJackson,599.99,0.20,1,599.99
1,2016-01-01,259,2016-01-03,2016-01-03,4,20,Electra Townie Original 7D EQ - Women's - 2016,Pleasanton,CA,94566,JohnathanVelazquez,Cruisers Bicycles,Santa Cruz Bikes,MireyaCopeland,599.99,0.20,1,599.99
1,2016-01-01,259,2016-01-03,2016-01-03,4,20,Electra Townie Original 7D EQ - Women's - 2016,Pleasanton,CA,94566,JohnathanVelazquez,Cruisers Bicycles,Santa Cruz Bikes,GennaSerrano,599.99,0.20,1,599.99
1,2016-01-01,259,2016-01-03,2016-01-03,4,20,Electra Townie Original 7D EQ - Women's - 2016,Pleasanton,CA,94566,JohnathanVelazquez,Cruisers Bicycles,Santa Cruz Bikes,VirgieWiggins,599.99,0.20,1,599.99
1,2016-01-01,259,2016-01-03,2016-01-03,4,8,Trek Remedy 29 Carbon Frameset - 2016,Pleasanton,CA,94566,JohnathanVelazquez,Mountain Bikes,Santa Cruz Bikes,FabiolaJackson,1799.99,0.07,2,3599.98
1,2016-01-01,259,2016-01-03,2016-01-03,4,8,Trek Remedy 29 Carbon Frameset - 2016,Pleasanton,CA,94566,JohnathanVelazquez,Mountain Bikes,Santa Cruz Bikes,MireyaCopeland,1799.99,0.07,2,3599.98
1,2016-01-01,259,2016-01-03,2016-01-03,4,8,Trek Remedy 29 Carbon Frameset - 2016,Pleasanton,CA,94566,JohnathanVelazquez,Mountain Bikes,Santa Cruz Bikes,GennaSerrano,1799.99,0.07,2,3599.98
1,2016-01-01,259,2016-01-03,2016-01-03,4,8,Trek Remedy 29 Carbon Frameset - 2016,Pleasanton,CA,94566,JohnathanVelazquez,Mountain Bikes,Santa Cruz Bikes,VirgieWiggins,1799.99,0.07,2,3599.98
1,2016-01-01,259,2016-01-03,2016-01-03,4,10,Surly Straggler - 2016,Pleasanton,CA,94566,JohnathanVelazquez,Cyclocross Bicycles,Santa Cruz Bikes,FabiolaJackson,1549.00,0.05,2,3098.00
1,2016-01-01,259,2016-01-03,2016-01-03,4,10,Surly Straggler - 2016,Pleasanton,CA,94566,JohnathanVelazquez,Cyclocross Bicycles,Santa Cruz Bikes,MireyaCopeland,1549.00,0.05,2,3098.00
1,2016-01-01,259,2016-01-03,2016-01-03,4,10,Surly Straggler - 2016,Pleasanton,CA,94566,JohnathanVelazquez,Cyclocross Bicycles,Santa Cruz Bikes,GennaSerrano,1549.00,0.05,2,3098.00
1,2016-01-01,259,2016-01-03,2016-01-03,4,10,Surly Straggler - 2016,Pleasanton,CA,94566,JohnathanVelazquez,Cyclocross Bicycles,Santa Cruz Bikes,VirgieWiggins,1549.00,0.05,2,3098.00
1,2016-01-01,259,2016-01-03,2016-01-03,4,16,Electra Townie Original 7D EQ - 2016,Pleasanton,CA,94566,JohnathanVelazquez,Cruisers Bicycles,Santa Cruz Bikes,FabiolaJackson,599.99,0.05,2,1199.98
1,2016-01-01,259,2016-01-03,2016-01-03,4,16,Electra Townie Original 7D EQ - 2016,Pleasanton,CA,94566,JohnathanVelazquez,Cruisers Bicycles,Santa Cruz Bikes,MireyaCopeland,599.99,0.05,2,1199.98
1,2016-01-01,259,2016-01-03,2016-01-03,4,16,Electra Townie Original 7D EQ - 2016,Pleasanton,CA,94566,JohnathanVelazquez,Cruisers Bicycles,Santa Cruz Bikes,GennaSerrano,599.99,0.05,2,1199.98
1,2016-01-01,259,2016-01-03,2016-01-03,4,16,Electra Townie Original 7D EQ - 2016,Pleasanton,CA,94566,JohnathanVelazquez,Cruisers Bicycles,Santa Cruz Bikes,VirgieWiggins,599.99,0.05,2,1199.98
1,2016-01-01,259,2016-01-03,2016-01-03,4,4,Trek Fuel EX 8 29 - 2016,Pleasanton,CA,94566,JohnathanVelazquez,Mountain Bikes,Santa Cruz Bikes,FabiolaJackson,2899.99,0.20,1,2899.99
1,2016-01-01,259,2016-01-03,2016-01-03,4,4,Trek Fuel EX 8 29 - 2016,Pleasanton,CA,94566,JohnathanVelazquez,Mountain Bikes,Santa Cruz Bikes,MireyaCopeland,2899.99,0.20,1,2899.99
1,2016-01-01,259,2016-01-03,2016-01-03,4,4,Trek Fuel EX 8 29 - 2016,Pleasanton,CA,94566,JohnathanVelazquez,Mountain Bikes,Santa Cruz Bikes,GennaSerrano,2899.99,0.20,1,2899.99
1,2016-01-01,259,2016-01-03,2016-01-03,4,4,Trek Fuel EX 8 29 - 2016,Pleasanton,CA,94566,JohnathanVelazquez,Mountain Bikes,Santa Cruz Bikes,VirgieWiggins,2899.99,0.20,1,2899.99
2,2016-01-01,1212,2016-01-03,2016-01-04,4,20,Electra Townie Original 7D EQ - Women's - 2016,Huntington Station,NY,11746,JaquelineCummings,Cruisers Bicycles,Baldwin Bikes,JannetteDavid,599.99,0.07,1,599.99
